"CHA191905130",1,"$Debut game for Charlie Robertson"FILENAME_TX","LINE_NUMBER_CT"
"CHA191907220",51,"$Pipp would have been doubled at 2B but Weaver muffed Risberg's relay throw"1919CHA.EVA.regular.comment.csv",37

"CHA191907240",9,"$Liebold was chased between 3B & home but got back safely"1919CHA.EVA.regular.comment.csv",38

"CHA191907240",15,"$Risberg broke his bat"1919CHA.EVA.regular.comment.csv",39

"CHA191907250",4,"$McMullin pulled the hidden ball trick"1919CHA.EVA.regular.comment.csv",40

"CHA191907250",12,"$Severeid's liner bounced off Williams' head into the stands behind the Sox bench; Williams collapsed on the mound & the trainer, Stephenson, came to his aid; Williams was too wobbly to continue"1919CHA.EVA.regular.comment.csv",41

"CHA191907250",32,"$Gerber was called out for interference on an attempted squeeze play"1919CHA.EVA.regular.comment.csv",42

"CHA191907250",39,"$Smith lost the ball in the sun and Gedeon held the relay briefly"1919CHA.EVA.regular.comment.csv",43

"CHA191907250",70,"$Davenport left game with heat exhaustion"1919CHA.EVA.regular.comment.csv",44

"CHA191907260",52,"$Jackson tried a one-handed catch then shoved the ball to Weaver who tossed to Collins"1919CHA.EVA.regular.comment.csv",45

"CHA191908180",5,"$Witt lost the ball in the sun"1919CHA.EVA.regular.comment.csv",46

"CHA191908180",74,"$Walker's wild throw got past Burns for the third error on the play"1919CHA.EVA.regular.comment.csv",47

"CHA191908200",44,"$hit on the foot"1919CHA.EVA.regular.comment.csv",48

"CHA191908230",0,"$More than 3,000 Marines in attendance"1919CHA.EVA.regular.comment.csv",49

"CHA191908230",38,"Schalk reached into the stands to grab the ball"1919CHA.EVA.regular.comment.csv",50

"CHA191908230",60,"Bounce Homer"1919CHA.EVA.regular.comment.csv",51

"CHA191908250",11,"$the ball caromed off James into foul territory"1919CHA.EVA.regular.comment.csv",52

"CHA191908250",14,"$Peck interfered with Lewis"1919CHA.EVA.regular.comment.csv",53

"CHA191909270",51,"infield fly rule"1919CHA.EVA.regular.comment.csv",54

