"SLN192704260",45,"$Roy Spencer rounded 1B too far"FILENAME_TX","LINE_NUMBER_CT"
"SLN192708010",42,"$off the RF pavilion roof"1927SLN.EVN.regular.comment.csv",36

"SLN192708030",56,"$Jesse Haines called for interference when his bat hit the ball twice"1927SLN.EVN.regular.comment.csv",37

"SLN192708040",55,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",38

"SLN192708050",81,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",39

"SLN192708060",9,"$Frankie Frisch rounded 1B too far"1927SLN.EVN.regular.comment.csv",40

"SLN192708060",27,"$over RF pavilion"1927SLN.EVN.regular.comment.csv",41

"SLN192708130",25,"$Johnny Gooch dropped the ball but HP umpire Cy Rigler did not see it; the Cardinals protested and Rigler consulted with the other umpires but none saw the ball dropped"1927SLN.EVN.regular.comment.csv",42

"SLN192708130",42,"$Hal Rhyne and Lloyd Waner collided and Rhyne dropped the ball; the Pirates argued Ryne held it long enough for the out"1927SLN.EVN.regular.comment.csv",43

"SLN192708130",77,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",44

"SLN192708140",19,"25 minute rain delay"1927SLN.EVN.regular.comment.csv",45

"SLN192709060",0,"$game two was called on account of rain in the top of the 2nd with the Cubs leading, 1-0"1927SLN.EVN.regular.comment.csv",46

"SLN192709060",72,"$Earl Webb dropped the relay throw"1927SLN.EVN.regular.comment.csv",47

"SLN192709071",35,"ej,englw101,P,rearb901,Call at 1B Woody English ejected by 1B umpire Beans Reardon"1927SLN.EVN.regular.comment.csv",48

"SLN192709072",42,"$hit the roof of the RF pavilion"1927SLN.EVN.regular.comment.csv",49

"SLN192709072",56,"$over RF pavilion"1927SLN.EVN.regular.comment.csv",50

"SLN192709072",76,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",51

"SLN192709090",15,"$over RF pavilion roof"1927SLN.EVN.regular.comment.csv",52

"SLN192709090",71,"$only ball four was intentional"1927SLN.EVN.regular.comment.csv",53

"SLN192709090",76,"$Wattie Holm stumbled rounding 1B"1927SLN.EVN.regular.comment.csv",54

"SLN192709090",87,"$bounce home run"1927SLN.EVN.regular.comment.csv",55

"SLN192709100",5,"ej,hermb102,P,odayh101,Call at 1B (Threw cap) Babe Herman ejected by 1B umpire Hank O'Day"1927SLN.EVN.regular.comment.csv",56

"SLN192709100",74,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",57

"SLN192709131",8,"$Frankie Frisch struck on the back of the head"1927SLN.EVN.regular.comment.csv",58

"SLN192709131",36,"$Heinie Schuble blocked 2B; when Les Mann slid into him roughly, they began to fight; both benches cleared and they were separated by other players; both were permitted to stay in the game; the game was delayed as pop bottles, which were thrown at Mann in LF, were cleaned up"1927SLN.EVN.regular.comment.csv",59

"SLN192709132",24,"$over the RF pavilion"1927SLN.EVN.regular.comment.csv",60

"SLN192709142",12,"$Bill Terry and Rogers Hornsby both ended up on 3B"1927SLN.EVN.regular.comment.csv",61

"SLN192709142",44,"$the ball struck 3B umpire Bob Hart's leg behind the mound"1927SLN.EVN.regular.comment.csv",62

"SLN192709142",67,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",63

"SLN192709151",5,"$off the RF pavilion roof into Grand Boulevard"1927SLN.EVN.regular.comment.csv",64

"SLN192709151",74,"$Freddy Lindstrom and Heinie Schuble collided; Schuble was knocked out and play was suspended while first aid was given; it was his 3rd collision with base stealers during the series, each being caused by Schuble's inexperience with tagging runners"1927SLN.EVN.regular.comment.csv",65

"SLN192709152",72,"$game called due to darkness"1927SLN.EVN.regular.comment.csv",66

"SLN192709160",64,"$over RF pavilion"1927SLN.EVN.regular.comment.csv",67

"SLN192709170",76,"pbp account ends here, rest deduced"1927SLN.EVN.regular.comment.csv",68

"SLN192709190",4,"$Cy Williams tried to score when the throw to 3B bounced past Wattie Holm"1927SLN.EVN.regular.comment.csv",69

"SLN192709190",35,"$Johnny Cooney touched 2B for the out as Frank Snyder had already passed"1927SLN.EVN.regular.comment.csv",70

"SLN192709190",59,"$over RF pavilion"1927SLN.EVN.regular.comment.csv",71

"SLN192709230",62,"$over RF pavilion"1927SLN.EVN.regular.comment.csv",72

