"SLN194704180",64,"pbp account ends here, rest deduced","FILENAME_TX","LINE_NUMBER_CT"
"SLN194706292",46,"umpchange,4,umphome,barrg901 umpchange,4,ump1b,boggd901 umpchange,4,ump3b,(None) $HP umpire Lou Jorda left with injured arm; 1B umpire George Barr moved to HP; 3B umpire Dusty Boggess moved to 1B","1947SLN.EVN.regular.comment.csv",33
"SLN194707220",28,"$Mize hit in head, is on ground for a few minutes, gets up and walks off unassisted, but has to leave the game","1947SLN.EVN.regular.comment.csv",34
"SLN194707220",35,"$Pay back for hitting Mize?","1947SLN.EVN.regular.comment.csv",35
"SLN194707220",58,"Rigney threw wildly to Kerr at short","1947SLN.EVN.regular.comment.csv",36
"SLN194707220",68,"Thomson muffs short fly but gets force at second","1947SLN.EVN.regular.comment.csv",37
"SLN194707230",22,"Munger removed with count of 2-0 on Cooper","1947SLN.EVN.regular.comment.csv",38
"SLN194707230",73,"$Musial caught foul line drive","1947SLN.EVN.regular.comment.csv",39
"SLN194707240",61,"pbp account ends here, rest deduced","1947SLN.EVN.regular.comment.csv",40
"SLN194707260",55,"ej,fernn101,P,pineb101,Called third strike Nanny Fernandez ejected by HP umpire Babe Pinelli","1947SLN.EVN.regular.comment.csv",41
"SLN194707300",5,"$wild throw in by Terry Moore","1947SLN.EVN.regular.comment.csv",42
"SLN194707300",50,"ej,walkd101,P,barrg901,Catcher's interference non-call ej,sukec101,C,barrg901,Catcher's interference non-call $Walker claimed that catcher Rice had tipped his bat but HP umpire Barr said time had been called; Walker slammed his bat on the plate and was ejected by Barr; Dodger coach Sukeforth also ejected by Barr","1947SLN.EVN.regular.comment.csv",43
"SLN194708010",15,"Long belt into LF bleachers","1947SLN.EVN.regular.comment.csv",44
"SLN194708010",36,"Off Rowe's glove","1947SLN.EVN.regular.comment.csv",45
"SLN194708010",63,"Landed halfway up into LF seats $After the first pitch, Kurowski asked Ump Conlan to look at the ball for possible perspiration.  Rowe then threw the next pitch high and tight, sending Kurowski spinning to the dirt, missing his head by inches.  He got up fighting mad, shouted at Rowe, and started for the mound.  Rowe answered back and left the rubber but Conlan stepped between them. Kurowski homered on the next pitch.","1947SLN.EVN.regular.comment.csv",46
"SLN194708010",68,"Rowe threw 91 pitches, Dickson 104","1947SLN.EVN.regular.comment.csv",47
"SLN194708020",64,"$Brazle struck out the side on 9 pitches","1947SLN.EVN.regular.comment.csv",48
"SLN194708080",33,"Schoendienst: diving stop","1947SLN.EVN.regular.comment.csv",49
"SLN194708080",38,"Musial was running on 3-1 pitch","1947SLN.EVN.regular.comment.csv",50
"SLN194708080",67,"Munger threw 104 pitches (74 strikes)","1947SLN.EVN.regular.comment.csv",51
"SLN194708101",37,"Off Bloodworth's glove","1947SLN.EVN.regular.comment.csv",52
"SLN194708102",13,"Off Bloodworth's glove","1947SLN.EVN.regular.comment.csv",53
"SLN194708102",67,"Off Gustine's glove","1947SLN.EVN.regular.comment.csv",54
"SLN194708102",76,"Slaughter: running catch","1947SLN.EVN.regular.comment.csv",55
"SLN194708102",80,"Heads-up base running by Diering stretched it to a double","1947SLN.EVN.regular.comment.csv",56
"SLN194708120",5,"Merullo: speared it","1947SLN.EVN.regular.comment.csv",57
"SLN194708120",30,"Close play","1947SLN.EVN.regular.comment.csv",58
"SLN194708120",35,"Through Marion","1947SLN.EVN.regular.comment.csv",59
"SLN194708120",40,"Hack knocked it down","1947SLN.EVN.regular.comment.csv",60
"SLN194708120",71,"Johnson: good play robbed Moore","1947SLN.EVN.regular.comment.csv",61
"SLN194709071",0,"$the umpires worked without coats","1947SLN.EVN.regular.comment.csv",62
"SLN194709060",92,"umpchange,11,umphome,barrg901 umpchange,11,ump3b,(None) $HP umpire Jocko Conlan struck on right arm by foul ball; 3B umpire George Barr moved to HP","1947SLN.EVN.regular.comment.csv",63
"SLN194709072",31,"$Benny Zientara injured his stomach scoring in the first","1947SLN.EVN.regular.comment.csv",64
"SLN194709120",53,"$Del Rice left injured","1947SLN.EVN.regular.comment.csv",65
"SLN194709150",81,"deduced","1947SLN.EVN.regular.comment.csv",66
"SLN194709160",52,"pbp account ends here, rest deduced","1947SLN.EVN.regular.comment.csv",67
"SLN194709170",32,"$onto pavillion roof","1947SLN.EVN.regular.comment.csv",68
"SLN194709170",63,"pbp account ends here, rest deduced from newspapers","1947SLN.EVN.regular.comment.csv",69
"SLN194709180",46,"pbp account ends here, rest deduced","1947SLN.EVN.regular.comment.csv",70
"SLN194709180",55,"$Wilber left with ruptured blood vessel in left wrist","1947SLN.EVN.regular.comment.csv",71
"SLN194709180",70,"$both doubles were popups nearly caught that advanced runners only from 2nd to 3rd","1947SLN.EVN.regular.comment.csv",72
"SLN194709180",75,"$Major League debut for Ken Johnson","1947SLN.EVN.regular.comment.csv",73
"SLN194709190",51,"$Peanuts Lowrey and Bobby Sturgeon collided; Lowrey left with a dislocated left shoulder","1947SLN.EVN.regular.comment.csv",74
"SLN194709190",60,"$over the RF roof onto the street","1947SLN.EVN.regular.comment.csv",75
