"CHA192504220",0,"Threatening weather CDT=105 CDT=more than 25000, NYT=close to 30000","FILENAME_TX","LINE_NUMBER_CT"
"CHA192504270",77,"Wild peg past 1B","1925CHA.EVA.regular.comment.csv",58
"CHA192504270",86,"Myatt threw into CF","1925CHA.EVA.regular.comment.csv",59
"CHA192504280",0,"Chilly lake breeze","1925CHA.EVA.regular.comment.csv",60
"CHA192504280",12,"Off Collins' glove after a chase","1925CHA.EVA.regular.comment.csv",61
"CHA192504280",19,"Potential HR drive held up by the wind","1925CHA.EVA.regular.comment.csv",62
"CHA192504280",33,"Through Uhle's legs","1925CHA.EVA.regular.comment.csv",63
"CHA192504280",43,"Davis held 1B on Speaker's throw home","1925CHA.EVA.regular.comment.csv",64
"CHA192504280",58,"Kamm just knocked it down with his bare hand","1925CHA.EVA.regular.comment.csv",65
"CHA192504280",59,"Sheely tried to stab the bad throw just as Sewell crashed into him and the ball got away.","1925CHA.EVA.regular.comment.csv",66
"CHA192504280",60,"Sewell avoided Collins' tag per Ump Rowland, but Collins argued Sewell ran out of the base line.  He even went out to show the umpire where Sewell's spike marks were.","1925CHA.EVA.regular.comment.csv",67
"CHA192504280",62,"Davis' throw to 1B was too late for DP","1925CHA.EVA.regular.comment.csv",68
"CHA192504280",65,"Davis injured his ankle colliding with Burns","1925CHA.EVA.regular.comment.csv",69
"CHA192504280",66,"CDN coverage ended here","1925CHA.EVA.regular.comment.csv",70
"CHA192504280",75,"Indians protested Ump Rowland's safe call at 2B.  Rowland indicated Fewster had juggled Myatt's throw.","1925CHA.EVA.regular.comment.csv",71
"CHA192505010",0,"Cold 1000 women attended Ladies' Day","1925CHA.EVA.regular.comment.csv",72
"CHA192505010",4,"16-game hitting streak","1925CHA.EVA.regular.comment.csv",73
"CHA192505010",7,"Nice stop but Mostil beat throw","1925CHA.EVA.regular.comment.csv",74
"CHA192505010",8,"Williams fumbled","1925CHA.EVA.regular.comment.csv",75
"CHA192505010",9,"Through McManus","1925CHA.EVA.regular.comment.csv",76
"CHA192505010",14,"Attempted double steal","1925CHA.EVA.regular.comment.csv",77
"CHA192505010",15,"Off Davis' glove/shins","1925CHA.EVA.regular.comment.csv",78
"CHA192505010",25,"Fast play","1925CHA.EVA.regular.comment.csv",79
"CHA192505010",26,"Great leaping catch","1925CHA.EVA.regular.comment.csv",80
"CHA192505010",39,"CDN: 4(1)3/GDP","1925CHA.EVA.regular.comment.csv",81
"CHA192505010",40,"1-handed leaping catch","1925CHA.EVA.regular.comment.csv",82
"CHA192505010",59,"Into RF bleachers","1925CHA.EVA.regular.comment.csv",83
"CHA192505010",61,"Off Bennett's glove","1925CHA.EVA.regular.comment.csv",84
"CHA192505010",66,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",85
"CHA192505010",67,"Tobin didn't start due to a lame arm caused by a bad cold","1925CHA.EVA.regular.comment.csv",86
"CHA192505010",69,"Springer's ML debut","1925CHA.EVA.regular.comment.csv",87
"CHA192505010",74,"Past Collins","1925CHA.EVA.regular.comment.csv",88
"CHA192505010",86,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",89
"CHA192505010",89,"Off Sheely's glove","1925CHA.EVA.regular.comment.csv",90
"CHA192505020",3,"Big hand as he stepped to the plate","1925CHA.EVA.regular.comment.csv",91
"CHA192505020",6,"Lightning DP","1925CHA.EVA.regular.comment.csv",92
"CHA192505020",8,"Collins lost it in the sun","1925CHA.EVA.regular.comment.csv",93
"CHA192505020",16,"Great stop","1925CHA.EVA.regular.comment.csv",94
"CHA192505020",25,"Sensational catch","1925CHA.EVA.regular.comment.csv",95
"CHA192505020",28,"Sensational leaping, 1-handed catch high against the LF bleachers, may've robbed Jacobson of HR.","1925CHA.EVA.regular.comment.csv",96
"CHA192505020",33,"SLS: POCS2(13634)","1925CHA.EVA.regular.comment.csv",97
"CHA192505020",36,"SLS: 1/P","1925CHA.EVA.regular.comment.csv",98
"CHA192505020",39,"Bounced off Sisler's glove","1925CHA.EVA.regular.comment.csv",99
"CHA192505020",47,"Hurled over Robertson","1925CHA.EVA.regular.comment.csv",100
"CHA192505020",53,"Got away from Falk","1925CHA.EVA.regular.comment.csv",101
"CHA192505020",54,"Infield was playing back","1925CHA.EVA.regular.comment.csv",102
"CHA192505020",61,"Schalk glowered when Ump Evans called ball 4","1925CHA.EVA.regular.comment.csv",103
"CHA192505020",62,"CDN: 14(1)/FO [deflected off Faber's glove to Collins]","1925CHA.EVA.regular.comment.csv",104
"CHA192505020",63,"Crowd went wild for Sisler's 17-game hitting streak","1925CHA.EVA.regular.comment.csv",105
"CHA192505080",0,"Ladies' Day; 17,000 paying fans besides the women","1925CHA.EVA.regular.comment.csv",106
"CHA192505080",3,"Singled past 2B","1925CHA.EVA.regular.comment.csv",107
"CHA192505080",4,"Barrett fumbled","1925CHA.EVA.regular.comment.csv",108
"CHA192505080",11,"Off Judge's glove and got away from him","1925CHA.EVA.regular.comment.csv",109
"CHA192505080",24,"'Spectacular stop...grabbing the ball backward, turning and throwing out the runner.  It was great work.'","1925CHA.EVA.regular.comment.csv",110
"CHA192505080",28,"Past 1B","1925CHA.EVA.regular.comment.csv",111
"CHA192505080",30,"Off Davis's bare hand","1925CHA.EVA.regular.comment.csv",112
"CHA192505080",37,"Past Kamm","1925CHA.EVA.regular.comment.csv",113
"CHA192505080",51,"Mogridge was hit in the head by Barrett's knee while fielding the slow roller and dropped the ball.  The play caused a dispute; Ump McGowan first called Barrett out for interference but was overruled by Ump Ormsby.","1925CHA.EVA.regular.comment.csv",114
"CHA192505080",53,"A pitch wide of the plate on hit & run","1925CHA.EVA.regular.comment.csv",115
"CHA192505080",58,"Barehanded play","1925CHA.EVA.regular.comment.csv",116
"CHA192505080",61,"Through SS","1925CHA.EVA.regular.comment.csv",117
"CHA192505080",64,"Over Mostil to the fence","1925CHA.EVA.regular.comment.csv",118
"CHA192505080",65,"Wide peg into CF","1925CHA.EVA.regular.comment.csv",119
"CHA192505080",66,"Through the drawn-in infield","1925CHA.EVA.regular.comment.csv",120
"CHA192505080",67,"Off Kamm's glove","1925CHA.EVA.regular.comment.csv",121
"CHA192505080",76,"Barrett knocked it loose with a feet-first slide","1925CHA.EVA.regular.comment.csv",122
"CHA192505080",80,"Ruether replaced Shirley after one strike","1925CHA.EVA.regular.comment.csv",123
"CHA192505090",0,"CDT=90","1925CHA.EVA.regular.comment.csv",124
"CHA192505090",9,"Wide throw from deep SS","1925CHA.EVA.regular.comment.csv",125
"CHA192505090",11,"Nice stop","1925CHA.EVA.regular.comment.csv",126
"CHA192505090",14,"Fast play","1925CHA.EVA.regular.comment.csv",127
"CHA192505090",27,"Through Davis","1925CHA.EVA.regular.comment.csv",128
"CHA192505090",35,"Spectacular diving catch; Falk slid on his elbow as he landed but held onto the ball. Fans went wild with applause.","1925CHA.EVA.regular.comment.csv",129
"CHA192505090",40,"Running catch just before crashing into the fence","1925CHA.EVA.regular.comment.csv",130
"CHA192505090",42,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",131
"CHA192505090",43,"Over Davis","1925CHA.EVA.regular.comment.csv",132
"CHA192505090",58,"The pitch broke in, hit Kamm's bat without him swinging at it, and died just in front of the plate.  Ruel tagged him.","1925CHA.EVA.regular.comment.csv",133
"CHA192505090",59,"Into RCF bleachers","1925CHA.EVA.regular.comment.csv",134
"CHA192505090",66,"Fine stop","1925CHA.EVA.regular.comment.csv",135
"CHA192505110",0,"Extremely chilly","1925CHA.EVA.regular.comment.csv",136
"CHA192505110",19,"Caromed off Johnson's glove","1925CHA.EVA.regular.comment.csv",137
"CHA192505110",22,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",138
"CHA192505110",56,"Caromed off Judge's glove","1925CHA.EVA.regular.comment.csv",139
"CHA192505110",80,"Nice running catch","1925CHA.EVA.regular.comment.csv",140
"CHA192505120",0,"CDN/CDT=7000","1925CHA.EVA.regular.comment.csv",141
"CHA192505120",4,"Combs beat force attempt at 2B","1925CHA.EVA.regular.comment.csv",142
"CHA192505120",5,"Deflected by Thurston","1925CHA.EVA.regular.comment.csv",143
"CHA192505120",8,"NYEW: K swinging","1925CHA.EVA.regular.comment.csv",144
"CHA192505120",16,"1-handed pickup and beat Hooper to 1B","1925CHA.EVA.regular.comment.csv",145
"CHA192505120",18,"NYEW: K swinging","1925CHA.EVA.regular.comment.csv",146
"CHA192505120",27,"Caught at the edge of the bleachers","1925CHA.EVA.regular.comment.csv",147
"CHA192505120",28,"Knocked it down","1925CHA.EVA.regular.comment.csv",148
"CHA192505120",48,"NYEW coverage ended here","1925CHA.EVA.regular.comment.csv",149
"CHA192505120",52,"Bounced over Sheely","1925CHA.EVA.regular.comment.csv",150
"CHA192505120",56,"Off Ward's glove","1925CHA.EVA.regular.comment.csv",151
"CHA192505120",62,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",152
"CHA192505120",70,"Vicious fly toward LF bleachers veered sharply toward the foul line, caromed off the foul pole, and bounded into the grandstand in foul territory.  Ward circled the bases, but after an umpire conference, was returned to 2B under ground rules. CDT: Ground rules state that if a ball hits the pole and bounds into the stand or over the fence, it is a double, otherwise it is good for all a man can get. NYTimes: 'The reason for this rule is shrouded in deep mystery, but there it stands nevertheless.'","1925CHA.EVA.regular.comment.csv",153
"CHA192505130",2,"Running catch","1925CHA.EVA.regular.comment.csv",154
"CHA192505130",9,"Nice stop","1925CHA.EVA.regular.comment.csv",155
"CHA192505130",12,"Off Wanninger's glove","1925CHA.EVA.regular.comment.csv",156
"CHA192505130",13,"Close play on tag by Ward who protested the decision","1925CHA.EVA.regular.comment.csv",157
"CHA192505130",21,"Nice running catch","1925CHA.EVA.regular.comment.csv",158
"CHA192505130",28,"Spectacular backhanded grab","1925CHA.EVA.regular.comment.csv",159
"CHA192505130",34,"1-handed catch","1925CHA.EVA.regular.comment.csv",160
"CHA192505130",35,"Ward was spiked by Mostil on throw to 2B","1925CHA.EVA.regular.comment.csv",161
"CHA192505130",36,"Mostil and many other Sox players protested Ump McGowan's decision at 3B.","1925CHA.EVA.regular.comment.csv",162
"CHA192505130",37,"Nice stop of bad bounder, but threw wide","1925CHA.EVA.regular.comment.csv",163
"CHA192505130",40,"CDN: 163 [Deflected by Robertson]","1925CHA.EVA.regular.comment.csv",164
"CHA192505130",45,"No throw","1925CHA.EVA.regular.comment.csv",165
"CHA192505130",46,"Paschal tried a shoestring catch but it got by him","1925CHA.EVA.regular.comment.csv",166
"CHA192505130",58,"Off Davis' glove","1925CHA.EVA.regular.comment.csv",167
"CHA192505140",0,"The weather was cold.  Winter overcoats, earmuffs, and mittens were all the mode.","1925CHA.EVA.regular.comment.csv",168
"CHA192505140",2,"Kamm caught it back of the box","1925CHA.EVA.regular.comment.csv",169
"CHA192505140",15,"Davis fumbled it but recovered","1925CHA.EVA.regular.comment.csv",170
"CHA192505140",17,"Lyons fell as he tried to field it","1925CHA.EVA.regular.comment.csv",171
"CHA192505140",24,"Combs was going on the 3-2 pitch; Davis may have hurried","1925CHA.EVA.regular.comment.csv",172
"CHA192505140",25,"Combs' rough slide into Kamm brought jeers from the crowd. Kamm's throw to 1B was spoiled by the slide, but it looked accidental.  Collins protested the interference to Ump Dinneen to no avail.","1925CHA.EVA.regular.comment.csv",173
"CHA192505140",26,"Lyons whirled and made a quick, rifle shot throw","1925CHA.EVA.regular.comment.csv",174
"CHA192505140",27,"Texas Leaguer","1925CHA.EVA.regular.comment.csv",175
"CHA192505140",46,"Throw beat him but was wide; Davis slid around the tag","1925CHA.EVA.regular.comment.csv",176
"CHA192505140",49,"Attempted double steal","1925CHA.EVA.regular.comment.csv",177
"CHA192505140",52,"Past Sheely","1925CHA.EVA.regular.comment.csv",178
"CHA192505140",66,"Threw to 2B on a missed bunt","1925CHA.EVA.regular.comment.csv",179
"CHA192505140",68,"Hooper lost the ball in the sun","1925CHA.EVA.regular.comment.csv",180
"CHA192505150",2,"Kamm juggled the hot drive","1925CHA.EVA.regular.comment.csv",181
"CHA192505150",5,"Over Mostil","1925CHA.EVA.regular.comment.csv",182
"CHA192505150",19,"Great catch in front of the pavilion","1925CHA.EVA.regular.comment.csv",183
"CHA192505150",20,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",184
"CHA192505150",25,"Tipped off Ward's glove and backed up by Veach; Kamm had to wait to see if it could be caught.","1925CHA.EVA.regular.comment.csv",185
"CHA192505150",27,"Poor toss to Jones covering 1B","1925CHA.EVA.regular.comment.csv",186
"CHA192505150",29,"Veach fumbled","1925CHA.EVA.regular.comment.csv",187
"CHA192505150",38,"Through Ward","1925CHA.EVA.regular.comment.csv",188
"CHA192505150",42,"Schalk threw into CF","1925CHA.EVA.regular.comment.csv",189
"CHA192505150",51,"Nice stop","1925CHA.EVA.regular.comment.csv",190
"CHA192505150",63,"Off Cvengros' bare hand","1925CHA.EVA.regular.comment.csv",191
"CHA192505150",65,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",192
"CHA192505150",66,"Paschal fumbled","1925CHA.EVA.regular.comment.csv",193
"CHA192505150",67,"Bad peg to Wanninger","1925CHA.EVA.regular.comment.csv",194
"CHA192505150",73,"Off Davis' glove","1925CHA.EVA.regular.comment.csv",195
"CHA192505150",74,"Wild throw over Collins covering 1B","1925CHA.EVA.regular.comment.csv",196
"CHA192505150",75,"Nice catch","1925CHA.EVA.regular.comment.csv",197
"CHA192505180",2,"Nice catch","1925CHA.EVA.regular.comment.csv",198
"CHA192505180",7,"Simmons fumbled","1925CHA.EVA.regular.comment.csv",199
"CHA192505180",22,"Swung at outside pitch on hit & run","1925CHA.EVA.regular.comment.csv",200
"CHA192505180",34,"Hit & run","1925CHA.EVA.regular.comment.csv",201
"CHA192505180",45,"Grazed on a high pitch","1925CHA.EVA.regular.comment.csv",202
"CHA192505180",47,"DP grounder but again Davis muffed the toss and it rolled toward LF.  Kamm headed it off leaving 3B uncovered.","1925CHA.EVA.regular.comment.csv",203
"CHA192505180",49,"Kamm muffed Mostil's great throw","1925CHA.EVA.regular.comment.csv",204
"CHA192505180",58,"Wild throw to Grove","1925CHA.EVA.regular.comment.csv",205
"CHA192505180",59,"Mostil was hit on the heel and drew a pass as it was the fourth ball.","1925CHA.EVA.regular.comment.csv",206
"CHA192505180",65,"Off Ump Connolly's foot","1925CHA.EVA.regular.comment.csv",207
"CHA192505180",71,"Fine running catch","1925CHA.EVA.regular.comment.csv",208
"CHA192505180",79,"Running catch near grandstand","1925CHA.EVA.regular.comment.csv",209
"CHA192505180",81,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",210
"CHA192505180",92,"Off Thurston's glove","1925CHA.EVA.regular.comment.csv",211
"CHA192505180",96,"Off Kamm's glove; Bishop overran 3B","1925CHA.EVA.regular.comment.csv",212
"CHA192505180",108,"Texas Leaguer; guessing CF","1925CHA.EVA.regular.comment.csv",213
"CHA192505180",111,"Missing bottom of 13th to end in CHA192505180. The following events gleaned from Chicago Daily Tribune, PDL,","1925CHA.EVA.regular.comment.csv",214
"CHA192505180",118,"PDL: 65(2)/FO","1925CHA.EVA.regular.comment.csv",215
"CHA192505180",123,"Great diving play by Bishop on the Grove deflection","1925CHA.EVA.regular.comment.csv",216
"CHA192505180",124,"A leaping Bishop got a glove on it but couldn't hang on","1925CHA.EVA.regular.comment.csv",217
"CHA192505180",125,"Close play at the plate on great throw by Miller","1925CHA.EVA.regular.comment.csv",218
"CHA192505190",5,"As Mostil returned to 1B he collided with Poole.  The throw was wide, however, and Johnny came up smiling.  He turned his foot but remained in the game.","1925CHA.EVA.regular.comment.csv",219
"CHA192505190",7,"Collins was hit by ball four but credited with a walk","1925CHA.EVA.regular.comment.csv",220
"CHA192505190",9,"Texas Leaguer","1925CHA.EVA.regular.comment.csv",221
"CHA192505190",18,"CDN: .2X3(15654)","1925CHA.EVA.regular.comment.csv",222
"CHA192505190",27,"Hit & run; Sheely hit a wide pitch to RF","1925CHA.EVA.regular.comment.csv",223
"CHA192505190",30,"Nice stop; Sheely was caught off 3B","1925CHA.EVA.regular.comment.csv",224
"CHA192505190",31,"Attempted double steal; Dykes caught off 3B","1925CHA.EVA.regular.comment.csv",225
"CHA192505190",35,"Nice stop","1925CHA.EVA.regular.comment.csv",226
"CHA192505190",45,"Texas Leaguer","1925CHA.EVA.regular.comment.csv",227
"CHA192505190",66,"Off Falk's glove; nice stop","1925CHA.EVA.regular.comment.csv",228
"CHA192505190",73,"Attempted double steal","1925CHA.EVA.regular.comment.csv",229
"CHA192505190",76,"Bad hop","1925CHA.EVA.regular.comment.csv",230
"CHA192505190",77,"Into LF bleachers","1925CHA.EVA.regular.comment.csv",231
"CHA192505200",29,"Late/wide throw past 2B","1925CHA.EVA.regular.comment.csv",232
"CHA192505200",48,"CDT: '...he had a pain in his side or something.' BG: '...wrenched back'","1925CHA.EVA.regular.comment.csv",233
"CHA192505200",66,"Williams fumbled","1925CHA.EVA.regular.comment.csv",234
"CHA192505200",79,"Off Sheely's glove","1925CHA.EVA.regular.comment.csv",235
"CHA192505200",80,"Spectacular leaping 1-handed catch against the RF screen","1925CHA.EVA.regular.comment.csv",236
"CHA192505210",4,"Running catch","1925CHA.EVA.regular.comment.csv",237
"CHA192505210",8,"Caught off 2B","1925CHA.EVA.regular.comment.csv",238
"CHA192505210",11,"Off Prothro's glove","1925CHA.EVA.regular.comment.csv",239
"CHA192505210",50,"Nice catch against the screen","1925CHA.EVA.regular.comment.csv",240
"CHA192505210",54,"Wide throw","1925CHA.EVA.regular.comment.csv",241
"CHA192505210",59,"Through SS","1925CHA.EVA.regular.comment.csv",242
"CHA192505210",63,"Bouncer over Ross","1925CHA.EVA.regular.comment.csv",243
"CHA192505230",2,"Over Collins","1925CHA.EVA.regular.comment.csv",244
"CHA192505230",8,"Running catch","1925CHA.EVA.regular.comment.csv",245
"CHA192505230",21,"Bounder through the drawn-in infield","1925CHA.EVA.regular.comment.csv",246
"CHA192505230",23,"Over Collins; infield drawn-in","1925CHA.EVA.regular.comment.csv",247
"CHA192505230",24,"Hit & run, grounded through space vacated by Collins","1925CHA.EVA.regular.comment.csv",248
"CHA192505230",28,"Off Wamby's glove","1925CHA.EVA.regular.comment.csv",249
"CHA192505230",34,"During Boone's AB Crouse missed a pop foul by 15' but was not charged with an error.","1925CHA.EVA.regular.comment.csv",250
"CHA192505230",51,"Wild heave to 2B","1925CHA.EVA.regular.comment.csv",251
"CHA192505260",0,"Strong polar wind from the north","1925CHA.EVA.regular.comment.csv",252
"CHA192505260",10,"Over Collins","1925CHA.EVA.regular.comment.csv",253
"CHA192505260",15,"The ball hit the 2B bag","1925CHA.EVA.regular.comment.csv",254
"CHA192505260",17,"Off Sheely's glove","1925CHA.EVA.regular.comment.csv",255
"CHA192505260",20,"Sheely made a 1-handed stop but his throw bounced off Wingo's head and caromed into LF.","1925CHA.EVA.regular.comment.csv",256
"CHA192505260",21,"Over Sheely","1925CHA.EVA.regular.comment.csv",257
"CHA192505260",57,"Reportedly Cobb's 1000th career extra base hit","1925CHA.EVA.regular.comment.csv",258
"CHA192505260",69,"Texas Leaguer","1925CHA.EVA.regular.comment.csv",259
"CHA192505260",72,"Wide throw to 1B attempting to double-up Blue.","1925CHA.EVA.regular.comment.csv",260
"CHA192505260",75,"Infield hit","1925CHA.EVA.regular.comment.csv",261
"CHA192505270",5,"Great running catch","1925CHA.EVA.regular.comment.csv",262
"CHA192505270",10,"Falk got caught in a rundown between 1B & 2B.  Blue threw into LF after a wild chase; guessing assists on that play. .BXH(54E3/TH2)","1925CHA.EVA.regular.comment.csv",263
"CHA192505270",15,"Collins tagged Tavener","1925CHA.EVA.regular.comment.csv",264
"CHA192505270",17,"Nice catch against the stands","1925CHA.EVA.regular.comment.csv",265
"CHA192505270",18,"Bassler hit on knee cap by foul ball","1925CHA.EVA.regular.comment.csv",266
"CHA192505270",19,"Guessing PB here","1925CHA.EVA.regular.comment.csv",267
"CHA192505270",24,"Brilliant running catch","1925CHA.EVA.regular.comment.csv",268
"CHA192505270",29,"Into RF bleachers","1925CHA.EVA.regular.comment.csv",269
"CHA192505270",52,"Hit a slow pitch","1925CHA.EVA.regular.comment.csv",270
"CHA192505270",66,"Hit & run through the spot vacated by O'Rourke","1925CHA.EVA.regular.comment.csv",271
"CHA192505270",73,"Knocked down the liner","1925CHA.EVA.regular.comment.csv",272
"CHA192505270",76,"Spectacular running catch","1925CHA.EVA.regular.comment.csv",273
"CHA192505270",85,"Texas Leaguer","1925CHA.EVA.regular.comment.csv",274
"CHA192505280",6,"Heilmann out returning to 1B; Tigers surrounded the umpires to protest either Ump Owens' decision at 1B or they felt Cobb scored prior to the 3rd out.","1925CHA.EVA.regular.comment.csv",275
"CHA192505280",9,"Through SS","1925CHA.EVA.regular.comment.csv",276
"CHA192505280",22,"Remarkable running catch of high foul","1925CHA.EVA.regular.comment.csv",277
"CHA192505280",35,"Nice stop but threw late to Davis","1925CHA.EVA.regular.comment.csv",278
"CHA192505280",37,"Great throw","1925CHA.EVA.regular.comment.csv",279
"CHA192505280",48,"Knocked down the liner","1925CHA.EVA.regular.comment.csv",280
"CHA192505280",56,"Knocked down the drive","1925CHA.EVA.regular.comment.csv",281
"CHA192505280",59,"CDN coverage ended here","1925CHA.EVA.regular.comment.csv",282
"CHA192505280",60,"To LF screen","1925CHA.EVA.regular.comment.csv",283
"CHA192505280",70,"Over LF wall, about 10 feet from the line","1925CHA.EVA.regular.comment.csv",284
"CHA192505280",82,"Missing bottom of 9th to end in CHA192505280. The following events were gleaned from game summary in Chicago Daily Tribune.","1925CHA.EVA.regular.comment.csv",285
"CHA192505290",2,"To the stands","1925CHA.EVA.regular.comment.csv",286
"CHA192505290",11,"Through SS","1925CHA.EVA.regular.comment.csv",287
"CHA192505290",13,"Bounced over Falk","1925CHA.EVA.regular.comment.csv",288
"CHA192505290",20,"Hooper fumbled","1925CHA.EVA.regular.comment.csv",289
"CHA192505290",31,"Falk fumbled","1925CHA.EVA.regular.comment.csv",290
