"NYA192304180",42,"$Rain began to fall at the start of the 6th inning; later the sun came out again.","FILENAME_TX","LINE_NUMBER_CT"
"NYA192306180",33,"$BOUNCE HR","1923NYA.EVA.regular.comment.csv",26
"NYA192306190",3,"$Ray Francis in as a courtesy runner; Lu Blue had been struck by a batted ball during fielding practice before the game","1923NYA.EVA.regular.comment.csv",27
"NYA192306200",2,"$Ward tagged out Haney. Haney twisted his right ankle trying to avoid tag, and was helped off field","1923NYA.EVA.regular.comment.csv",28
"NYA192306200",49,"$BOUNCE HR; a grounder that took a bad hop into a LF box","1923NYA.EVA.regular.comment.csv",29
"NYA192306200",64,"$BOUNCE HR","1923NYA.EVA.regular.comment.csv",30
"NYA192306280",26,"$Rain began falling during this inning","1923NYA.EVA.regular.comment.csv",31
"NYA192306290",52,"$Bush, badly spiked on the right knee by Galloway at home, was knocked out.  Trainer Woods patched him up on the bench.  After several minutes Bush returned to the mound.","1923NYA.EVA.regular.comment.csv",32
"NYA192307010",61,"$The Babe had been limping more or less the entire game","1923NYA.EVA.regular.comment.csv",33
"NYA192307030",60,"$BOUNCE HR","1923NYA.EVA.regular.comment.csv",34
"NYA192307030",84,"$As he made a wonderful catch, Ruth fell back on the sloping RF terrace, hit his head hard, and laid on his back for a few minutes.  Players came to his aid and he arose shakily.","1923NYA.EVA.regular.comment.csv",35
"NYA192307280",0,"Game 1 of today's scheduled doubleheader was postponed at 1:30pm (original start time).  For almost an hour the rain continued intermittently","1923NYA.EVA.regular.comment.csv",36
"NYA192307280",7,"$Rain began falling and fans in the front boxes retreated to dry spaces of the stands.","1923NYA.EVA.regular.comment.csv",37
"NYA192308050",21,"$BOUNCE HR between Ruth & Witt; rolled under the LCF gate","1923NYA.EVA.regular.comment.csv",38
"NYA192308050",96,"$After Ruth saw Vangilder intended to pass him, he switched over to the other side of the plate; The fans gave Vangilder a hearty Bronx cheer.","1923NYA.EVA.regular.comment.csv",39
"NYA192308050",112,"$Again, Ruth 'batted' right-handed during the IW.","1923NYA.EVA.regular.comment.csv",40
"NYA192308112",47,"pbp account ends, rest deduced","1923NYA.EVA.regular.comment.csv",41
"NYA192308112",55,"BOUNCE HR","1923NYA.EVA.regular.comment.csv",42
"NYA192308310",22,"$Leibold collided with Hofmann, knocking the catcher out for several minutes. Trainor Woods finally brought him to, and Hofmann was able to return to the bench unassisted.","1923NYA.EVA.regular.comment.csv",43
"NYA192309010",27,"$BOUNCE HR","1923NYA.EVA.regular.comment.csv",44
"NYA192309010",39,"$Hit in the back of the head and was unconscious for a moment, but was quickly revived by his teammates and ambled to 1B.","1923NYA.EVA.regular.comment.csv",45
"NYA192309091",16,"$Nasty wallop on the left shoulder; just managed to keep from getting hit in the head.","1923NYA.EVA.regular.comment.csv",46
"NYA192309110",58,"$Hit in the back","1923NYA.EVA.regular.comment.csv",47
"NYA192309121",2,"and rolled to short center field.","1923NYA.EVA.regular.comment.csv",48
"NYA192309162",57,"Umpire Rowland ruled Ward's foot was off the base.  Ward protested so vehemently he was ejected.","1923NYA.EVA.regular.comment.csv",49
"NYA192309170",56,"$BOUNCE HR; bounced into a field box","1923NYA.EVA.regular.comment.csv",50
"NYA192309180",77,"$Hit on the right leg","1923NYA.EVA.regular.comment.csv",51
"NYA192309200",15,"$During Scott's AB, Severeid was hit behind his left ear by a foul tip.  He received first aid treatment but the wound bled so profusely that he was forced to leave the game.","1923NYA.EVA.regular.comment.csv",52
"NYA192309240",62,"pbp account ends here, rest deduced","1923NYA.EVA.regular.comment.csv",53
"NYA192309250",6,"$Hit on the wrist","1923NYA.EVA.regular.comment.csv",54
"NYA192309250",51,"pbp account ends here, rest deduced","1923NYA.EVA.regular.comment.csv",55
"NYA192310040",46,"$Hit in the back","1923NYA.EVA.regular.comment.csv",56
"NYA192310050",30,"$There was great surprise when this was ruled a home run and not a single plus error","1923NYA.EVA.regular.comment.csv",57
"NYA192310050",82,"pbp account ends here, rest deduced","1923NYA.EVA.regular.comment.csv",58
