"BOS191604120",0,"Opening Day 1916 at Fenway Park. Mayor James M.Curley tossed out the first ball."FILENAME_TX","LINE_NUMBER_CT"
"BOS191607121",45,"Hit and run."1916BOS.EVA.regular.comment.csv",44

"BOS191607121",62,"Weaver ejected by Chill for arguing call at first."1916BOS.EVA.regular.comment.csv",45

"BOS191607122",30,"Attempted double steal."1916BOS.EVA.regular.comment.csv",46

"BOS191607151",66,"Ninth inning from Post Dispatch/Globe/RBS."1916BOS.EVA.regular.comment.csv",47

"BOS191607192",45,"Vitt could not handle Veach's throw."1916BOS.EVA.regular.comment.csv",48

"BOS191607192",54,"$Young's throw to home was dropped, no error charged"1916BOS.EVA.regular.comment.csv",49

"BOS191607221",2,"Cady's throw to second was late."1916BOS.EVA.regular.comment.csv",50

"BOS191607221",15,"Hooper's good throw almost beat Mitchell to the bag."1916BOS.EVA.regular.comment.csv",51

"BOS191607221",41,"Ball deflected by Mays."1916BOS.EVA.regular.comment.csv",52

"BOS191607221",56,"Lewis made a great catch at the fence."1916BOS.EVA.regular.comment.csv",53

"BOS191607222",4,"ej,bushd102,P,connt901,Call at HP $Bush ejected by HP umpire Connolly for arguing he was safe"1916BOS.EVA.regular.comment.csv",54

"BOS191607222",18,"Burns throw home was off line allowing a run."1916BOS.EVA.regular.comment.csv",55

"BOS191608161",7,"$Red Sox checked Jackson's bat, umps declared it illegal"1916BOS.EVA.regular.comment.csv",56

"BOS191608161",24,"Weaver stumbled going around third."1916BOS.EVA.regular.comment.csv",57

"BOS191608161",33,"Attempted sacrifice."1916BOS.EVA.regular.comment.csv",58

"BOS191608161",64,"E. Collins held third, Jackson tagged out close to third."1916BOS.EVA.regular.comment.csv",59

"BOS191608161",99,"Attempted sacrifice."1916BOS.EVA.regular.comment.csv",60

"BOS191608161",117,"Hooper beat Weaver's force-out attempt at second."1916BOS.EVA.regular.comment.csv",61

"BOS191608162",9,"109 had D, Retrosheet box score had as entered."1916BOS.EVA.regular.comment.csv",62

"BOS191608162",25,"Attempted sacrifice."1916BOS.EVA.regular.comment.csv",63

"BOS191608162",30,"Very dark but umpires continued on with the game."1916BOS.EVA.regular.comment.csv",64

"BOS191608162",43,"Game called for darkness"1916BOS.EVA.regular.comment.csv",65

"BOS191608170",53,"Weaver tagged Hooper out in a foot race to third."1916BOS.EVA.regular.comment.csv",66

"BOS191608180",2,"Leonard's throw to third base was late."1916BOS.EVA.regular.comment.csv",67

"BOS191608180",85,"Attempted double steal."1916BOS.EVA.regular.comment.csv",68

"BOS191608291",6,"Ruth went in with 1-1 count on batter."1916BOS.EVA.regular.comment.csv",69

"BOS191608291",12,"Barry left game after HBP in first inning."1916BOS.EVA.regular.comment.csv",70

"BOS191608291",55,"Top of seventh inning to end from Boston Post/Globe/RBS."1916BOS.EVA.regular.comment.csv",71

"BOS191609270",73,"Top of 10 to end from Evening Mail."1916BOS.EVA.regular.comment.csv",72

"BOS191609280",7,"Tried to score when pitch got away from Walters."1916BOS.EVA.regular.comment.csv",73

"BOS191609280",22,"$Hooper originally called out for interference but Evans reversed call."1916BOS.EVA.regular.comment.csv",74

