"TBA201004070",58,"$Rays runner Reid Brignac thought Carl Crawford has walked and strolled to 2B but Crawford was called out on a check swing and Brignac thrown out at 2B","FILENAME_TX","LINE_NUMBER_CT"
"TBA201008160",47,"replay,7,molib001,TEX,scotd901,STP01,O,N,I,,H $the ball hit off the top of the wall and caromed back to the field; Rays left fielder Carl Crawford climbed the wall attempting to catch the ball but was about 8-10 feet away; the ball was ruled in play; crew chief Dale Scott watched the replay and upheld the call","2010TBA.EVA.regular.comment.csv",29
"TBA201008160",52,"Rangers third baseman Michael Young left the game due to an injured neck","2010TBA.EVA.regular.comment.csv",30
"TBA201009010",8,"Debut game for Desmond Jennings","2010TBA.EVA.regular.comment.csv",31
"TBA201009010",45,"Blue Jays left fielder Fred Lewis left the game due to an injured elbow","2010TBA.EVA.regular.comment.csv",32
"TBA201009130",61,"ej,crawc002,P,hallt901,Called third strike Rays left fielder Carl Crawford ejected by HP umpire Tom Hallion","2010TBA.EVA.regular.comment.csv",33
"TBA201009140",43,"Debut game for Jake McGee","2010TBA.EVA.regular.comment.csv",34
"TBA201009150",50,"ej,maddj801,M,barkl901,HBP call on Jeter $Derek Jeter moved his hands up the bat as if to bunt and the pitch hit the end of the bat but Jeter jumped around and shook his hand as if the ball struck him; HP umpire Lance Barksdale told him to go to first; Yankees manager Joe Girardi and trainer Gene Monahan came out to tend to Jeter as he walked to first; Jeter told them that the ball did not hit him and that he was OK but Monahan pretended to treat Jeter; Rays Manager Joe Maddon argued a long time about the call and was ejected by Barksdale","2010TBA.EVA.regular.comment.csv",35
"TBA201009240",65,"Debut game for Dan Cortes","2010TBA.EVA.regular.comment.csv",36
"TBA201009240",72,"Debut game for Anthony Varvaro","2010TBA.EVA.regular.comment.csv",37
"TBA201009250",35,"Mariners Mike Carp left the game due to an injured foot","2010TBA.EVA.regular.comment.csv",38
"TBA201009280",37,"ej,lugoj001,P,westj901,Called third strike (Threw equipment) $Lugo ejected by HP umpire West for arguing called third strike; he then threw bat and pads toward plate","2010TBA.EVA.regular.comment.csv",39
