"NYA192204210",29,"$Frank Baker thought the ball had been dropped","FILENAME_TX","LINE_NUMBER_CT"
"NYA192208170",8,"$Babe Ruth rounded 3B too far","1922NYA.EVA.regular.comment.csv",47
"NYA192208170",69,"$Joe Bush left with heat exhaustion","1922NYA.EVA.regular.comment.csv",48
"NYA192208180",37,"$Waite Hoyt tore off a finger nailed pitching to Ted Blankenship","1922NYA.EVA.regular.comment.csv",49
"NYA192208200",80,"ej,strua102,P,hildg101,Call at HP (Threw dirt) Amos Strunk ejected by HP umpire George Hildebrand","1922NYA.EVA.regular.comment.csv",50
"NYA192208220",48,"$Courtesy runner; the Yankees agreed to let Les Nunamaker run for George Uhle while the latter had a shoe repaired","1922NYA.EVA.regular.comment.csv",51
"NYA192208220",52,"$Indians 3B coach Les Nunamaker called for interference when he grabbed Wamby to hold him at 3B","1922NYA.EVA.regular.comment.csv",52
"NYA192208240",8,"$Tris Speaker and Joe Wood collided; Speaker was spiked on the left leg and was helped off","1922NYA.EVA.regular.comment.csv",53
"NYA192208251",11,"$a drizzle began falling","1922NYA.EVA.regular.comment.csv",54
"NYA192208251",19,"$the rain came down harder","1922NYA.EVA.regular.comment.csv",55
"NYA192208280",56,"$26-game hitting streak for Sisler","1922NYA.EVA.regular.comment.csv",56
"NYA192208290",28,"$at the edge of the RF bleachers, a fan stuck out his hand and batted the ball back into the field","1922NYA.EVA.regular.comment.csv",57
"NYA192208290",33,"$Roger Peckinpaugh & Sam Jones collided at 1B; Peck's right leg was bent under him as he fell","1922NYA.EVA.regular.comment.csv",58
"NYA192208290",50,"$Roger Peckinpaugh left with injured leg from collision in fourth inning","1922NYA.EVA.regular.comment.csv",59
"NYA192208300",28,"ej,ruthb101,P,connt901,Called third strike Babe Ruth ejected by HP umpire Tommy Connolly","1922NYA.EVA.regular.comment.csv",60
"NYA192208300",54,"$the wild throw to 1B struck coach Charley O'Leary; Everett Scott started for 2B and tried to return","1922NYA.EVA.regular.comment.csv",61
"NYA192209060",25,"$HP Umpire Billy Evans emptied both benches because they had been yelling at each other","1922NYA.EVA.regular.comment.csv",62
"NYA192209101",43,"$Frank Bruggy threw the ball into CF when returning a pitch to Fred Heimach","1922NYA.EVA.regular.comment.csv",63
