"SLA192704150",41,"$Game called for rain","FILENAME_TX","LINE_NUMBER_CT"
"SLA192708190",46,"$the throw hit Ski Melillo on the head","1927SLA.EVA.regular.comment.csv",55
"SLA192708270",33,"$over RF pavilion","1927SLA.EVA.regular.comment.csv",56
"SLA192708270",72,"$over RF pavalion","1927SLA.EVA.regular.comment.csv",57
"SLA192708290",10,"$a foul ball broke Leo Dixon's mask and hit him over the eye; he borrowed a mask from Benny Bengough of the Yankees","1927SLA.EVA.regular.comment.csv",58
"SLA192708290",23,"$on top of RCF pavilion","1927SLA.EVA.regular.comment.csv",59
"SLA192708311",9,"$on top of RF pavilion","1927SLA.EVA.regular.comment.csv",60
"SLA192708312",50,"Gerber missing from PBP.","1927SLA.EVA.regular.comment.csv",61
"SLA192708312",73,"Top of ninth derived from Retrosheet box score.","1927SLA.EVA.regular.comment.csv",62
"SLA192709010",23,"$on top of RF pavilion","1927SLA.EVA.regular.comment.csv",63
"SLA192709010",49,"ej,austj101,C,vangr901,Call at 1B Browns coach Jimmy Austin ejected by 1B umpire Roy Van Graflan","1927SLA.EVA.regular.comment.csv",64
"SLA192709010",76,"ej,manuh101,P,owenb901,Call at HP Heinie Manush ejected by HP umpire Brick Owens","1927SLA.EVA.regular.comment.csv",65
"SLA192709010",89,"pbp account ends here, rest deduced","1927SLA.EVA.regular.comment.csv",66
"SLA192709030",26,"$ground rule triple behind the RF screen","1927SLA.EVA.regular.comment.csv",67
"SLA192709302",0,"$the fans stayed away in large numbers following yesterday's tornado disaster; signs of destruction were visible all about Sportsman's Park; the RF pavilion was unroofed and wrecks of buildings could be seen all around; telegraph service was not working and only one telephone served the three afternoon newspapers","1927SLA.EVA.regular.comment.csv",68
