"CHA193904230",3,"2-2 count","FILENAME_TX","LINE_NUMBER_CT"
"CHA193906041",8,"$Note from 6/6/1939 Chi. Tribune: in the first inning of the first game Sunday [6/4/1939] Radcliff was credited with a scratch hit when with 2 strikes and a runner on 2B the ball apparently hit his bat and rolled slowly to P Pippen. [Now] it turns out Radcliff swung and missed. The pitch bounced in front of home plate, bounced off a shin guard, and rolled towards the mound. Under the revised ruling Rip loses his hit and Pippen is charged with an error.","1939CHA.EVA.regular.comment.csv",32
"CHA193906050",43,"0-0 count","1939CHA.EVA.regular.comment.csv",33
"CHA193906050",46,"Kreevich may have gotten to 2B on Owen's fly.","1939CHA.EVA.regular.comment.csv",34
"CHA193906050",70,"$Walker struck on R elbow.","1939CHA.EVA.regular.comment.csv",35
"CHA193906060",22,"3-2 count","1939CHA.EVA.regular.comment.csv",36
"CHA193906060",41,"s/s just said Radcliff singled but out. I guessed 84 here since 8 needs assist.","1939CHA.EVA.regular.comment.csv",37
"CHA193906060",74,"Moses FO could be 46 rather than 4 unassisted","1939CHA.EVA.regular.comment.csv",38
"CHA193906070",50,"$Heat apparently affected Lee.","1939CHA.EVA.regular.comment.csv",39
"CHA193906080",12,"$Owen's throw hit Selkirk on the shoulder.","1939CHA.EVA.regular.comment.csv",40
"CHA193906080",18,"$Game was stopped while Gordon's spike wound was treated.","1939CHA.EVA.regular.comment.csv",41
"CHA193906270",65,"$Gallagher's throw hit McNair's leg allowing Tresh to go to 2B.","1939CHA.EVA.regular.comment.csv",42
"CHA193906292",0,"$Kuhel fouled ball off his leg in game 1 so didn't play game 2.","1939CHA.EVA.regular.comment.csv",43
"CHA193906292",13,"$Glenn lost handle on ball faking throw to 2B.","1939CHA.EVA.regular.comment.csv",44
"CHA193906292",26,"CC4: s/s 412 no Laabs K here.","1939CHA.EVA.regular.comment.csv",45
"CHA193906292",73,"CC4: s/s 412 no second Aappling SB in first so guess here.","1939CHA.EVA.regular.comment.csv",46
"CHA193907050",41,"$Trib reporter thought Tresh threw ball so Smith could cut off if double steal but Smith didn't know he should.","1939CHA.EVA.regular.comment.csv",47
"CHA193907070",0,"$Ladies Day total attendance 18,000.","1939CHA.EVA.regular.comment.csv",48
"CHA193907070",13,"$Throw bad hopped into Grimes' chin.  A hunk of ice revived him.","1939CHA.EVA.regular.comment.csv",49
"CHA193907080",5,"$Kress' finger on R hand spiked and game halted for repair.","1939CHA.EVA.regular.comment.csv",50
"CHA193907080",8,"$Greenberg booed as he came to bat.","1939CHA.EVA.regular.comment.csv",51
"CHA193907080",9,"$Greenberg ducked first pitch despite being ball outside.","1939CHA.EVA.regular.comment.csv",52
"CHA193907080",39,"$Three Sox fielders lost York's pop in sun.","1939CHA.EVA.regular.comment.csv",53
"CHA193907091",33,"31 DP","1939CHA.EVA.regular.comment.csv",54
"CHA193907130",17,"on 0-2 count","1939CHA.EVA.regular.comment.csv",55
"CHA193907130",20,"note says Tresh hit by SS","1939CHA.EVA.regular.comment.csv",56
"CHA193907130",65,"3-0 count SB","1939CHA.EVA.regular.comment.csv",57
"CHA193907130",76,"on 3-0 count","1939CHA.EVA.regular.comment.csv",58
"CHA193907130",88,"1-1 count SB","1939CHA.EVA.regular.comment.csv",59
"CHA193907130",94,"possible 8/SF.2-H not D.B-3","1939CHA.EVA.regular.comment.csv",60
"CHA193907150",9,"$Moses shoestring try failed but Radcliffe had to wait.","1939CHA.EVA.regular.comment.csv",61
"CHA193907150",36,"ej,siebd102,P,kolll901,Call at 3B ej,berrc103,C,summb901,Call at 3B $Siebert ejected by ump Kolls for arguing Hayes had tagged out Tresh as he ran back to 3B.  Other Phila. players also argued.  Coach Berry was ejected by Summers for comments made from the bullpen.","1939CHA.EVA.regular.comment.csv",62
"CHA193907161",65,"$Bad hop single over McNair's head.","1939CHA.EVA.regular.comment.csv",63
"CHA193907161",66,"$McNair dropped the ball as he tagged Lewis going by.","1939CHA.EVA.regular.comment.csv",64
"CHA193907161",67,"ej,lewib103,P,kolll901,Call at 2B (Threw dirt in air) $Lewis ejected by Kolls for arguing he was safe on pickoff","1939CHA.EVA.regular.comment.csv",65
"CHA193907181",6,"Cronin was thrown out at third before Williams could cross the plate.","1939CHA.EVA.regular.comment.csv",66
"CHA193907181",35,"Ball four was a wild pitch.","1939CHA.EVA.regular.comment.csv",67
"CHA193907191",46,"Upper deck.","1939CHA.EVA.regular.comment.csv",68
"CHA193907191",64,"Leaping catch at the wall by Rosenthal.","1939CHA.EVA.regular.comment.csv",69
"CHA193908170",61,"$dropped fly ball but got force","1939CHA.EVA.regular.comment.csv",70
"CHA193908170",66,"Conjecture","1939CHA.EVA.regular.comment.csv",71
"CHA193908180",7,"$Kuhel went 2 bases on WP but ump sent him back to 2B because ball lodged in backstop.","1939CHA.EVA.regular.comment.csv",72
"CHA193908180",34,"$Attempted hit & run.","1939CHA.EVA.regular.comment.csv",73
"CHA193908190",33,"$attempted double steal.","1939CHA.EVA.regular.comment.csv",74
"CHA193908190",60,"$Campbell crashed into Tresh. Tresh left with hurt R shoulder.","1939CHA.EVA.regular.comment.csv",75
"CHA193908231",17,"ej,dykej101,M,pipgg101,Call at 3B $Chicago manager Dykes ejected by 3B umpire Pipgras for arguing that Rosenthal was safe at 3rd","1939CHA.EVA.regular.comment.csv",76
"CHA193908240",48,"I am assuming this was a double play, even though the box score doesn't mention it.","1939CHA.EVA.regular.comment.csv",77
"CHA193908250",58,"$Previous 2 plays are 1 play.  As Desautels stole 3B Finney got hung up.","1939CHA.EVA.regular.comment.csv",78
"CHA193908260",35,"$scoresheet says this is McNair's seventh straight hit.","1939CHA.EVA.regular.comment.csv",79
"CHA193908260",46,"$Doerr's liner struck Dietrich's arm. Time called for  treatment.","1939CHA.EVA.regular.comment.csv",80
"CHA193908260",72,"rest of pbp cut off but might be on original so rest reconstructed with Chi Trib story.","1939CHA.EVA.regular.comment.csv",81
"CHA193908260",74,"CS by rosel101 could be later in inning","1939CHA.EVA.regular.comment.csv",82
"CHA193908260",80,"Ted 3-2","1939CHA.EVA.regular.comment.csv",83
"CHA193908280",41,"I am assuming this was a CS","1939CHA.EVA.regular.comment.csv",84
"CHA193908280",70,"I am assuming this was a CS","1939CHA.EVA.regular.comment.csv",85
"CHA193908301",57,"ej,dykej101,M,ormsr901,Hit by pitch $Dykes argued that Lewis made no attempt to get out of the way of the pitch that 'flicked his uniform'.","1939CHA.EVA.regular.comment.csv",86
"CHA193909031",4,"$Gehringer left game due to stiff neck.","1939CHA.EVA.regular.comment.csv",87
"CHA193909031",13,"total guess Bell K here","1939CHA.EVA.regular.comment.csv",88
"CHA193909031",40,"$Tresh picked Croucher off and when York tried to dash home Kuhel ran towards him. York reversed course but Kuhel threw to 3B for DP.","1939CHA.EVA.regular.comment.csv",89
"CHA193909031",46,"total guess McNair SB here","1939CHA.EVA.regular.comment.csv",90
"CHA193909231",39,"$Wade was hit on leg by Kreevich's line drive.","1939CHA.EVA.regular.comment.csv",91
"CHA193909232",76,"game called, darkness","1939CHA.EVA.regular.comment.csv",92
"CHA193909242",43,"game called, darkness","1939CHA.EVA.regular.comment.csv",93
"CHA193909250",2,"$The Legionairres honored Dykes before the game. To thank them, Dykes started the game at 3B - his 1st appearance of  1939. After Hoag's line drive went off Dykes' glove, the Sox players rushed out of the dugout with a stretcher and carried Dykes off the field.","1939CHA.EVA.regular.comment.csv",94
"CHA193909271",41,"$Hale hurt his back on the swing, left game at end of inning","1939CHA.EVA.regular.comment.csv",95
"CHA193909271",45,"McNair lets Tresh's throw get away","1939CHA.EVA.regular.comment.csv",96
