"CHA194904230",11,"$Tipton hurt thumb"FILENAME_TX","LINE_NUMBER_CT"
"PHA194907260",51,"$Moses threw poorly to third, allowing Lollar to score, then Joost threw badly to first, allowing Kokos to third; error oringially charge on throw, but after game Fain went to official scorer and insisted the error was his for not handling the throw"1949.EDA.regular.comment.csv",30

"DET194906040",31,"$Yes, he really scored from second on a sacrifice!"1949.EDA.regular.comment.csv",31

"CHA194905070",23,"Bunt popped over pitcher's head for a hit"1949.EDA.regular.comment.csv",32

"CHA194905070",28,"End of NY Sun PBP, rest is deduced"1949.EDA.regular.comment.csv",33

"CHA194905070",43,"Heinrich over runs second"1949.EDA.regular.comment.csv",34

"CHA194905070",77,"Should have been DP but Appling thought third out had been made"1949.EDA.regular.comment.csv",35

"CHA194907171",16,"Malone's first MLB AB is a hit (as is his second)"1949.EDA.regular.comment.csv",36

"CHA194907171",21,"No info on the three Yankees errors, but each put a man on One almost certainly here to enable Adams SH"1949.EDA.regular.comment.csv",37

"CHA194907171",30,"Raschi's throw to third is late"1949.EDA.regular.comment.csv",38

"CHA194907172",45,"Due to bad coaching, Mekovich trapped rounding third; not sure about rundown play"1949.EDA.regular.comment.csv",39

"CHA194907172",48,"First time DiMag fans (on 3-2 pitch) in 18 games this season"1949.EDA.regular.comment.csv",40

"CHA194907172",64,"Metkovich keeps running and scores as throw to first for DP is late"1949.EDA.regular.comment.csv",41

"CHA194908282",2,"No info on any of Sox 4 errors, one put a man on"1949.EDA.regular.comment.csv",42

"CHA194908282",5,"Mize injures right shoulder diving to make putout, but finishes the inning"1949.EDA.regular.comment.csv",43

"CHA194908282",78,"Game called due to darkness"1949.EDA.regular.comment.csv",44

"CHA194907080",19,"ej,vicos101,P,boyej901,Called third strike (Threw bat) $Vico threw his bat into a box adjoining the Tigers dugout in anger after being called out; he was ejected by plate umpire Boyer'"1949.EDA.regular.comment.csv",45

"DET194907180",75,"ej,simma101,C,joner901,Balls and strikes $A's third base coach Simmons ejected by plate umpire Jones for arguing strike calls to Fain; Fain also argued but stayed in the game"1949.EDA.regular.comment.csv",46

"DET194905050",36,"PBP account from Evening Bulletin ends here, rest deduced"1949.EDA.regular.comment.csv",47

"CHA194908180",3,"$Catcher Malone injured when bat slipped from Kell's hand and hit Malone behind left ear; Malone was taken to hospital X-rays showed no break, but he received two stitches"1949.EDA.regular.comment.csv",48

"SLA194908191",32,"$Priddy hurt foot with a foul ball in 4th, had to leave"1949.EDA.regular.comment.csv",49

"SLA194908191",58,"$Collission at first base and Groth broke wrist, out for rest of season"1949.EDA.regular.comment.csv",50

"SLA194908191",71,"$Vico hesitated to be sure ball wasn't caught, then he was an easy out at plate"1949.EDA.regular.comment.csv",51

"SLA194908192",55,"$Game called for rain"1949.EDA.regular.comment.csv",52

"SLA194908200",50,"Busted squeeze play"1949.EDA.regular.comment.csv",53

"CHA194908230",60,"$Coleman said 'something cracked in my shoulder and I couldn't throw hard any more"1949.EDA.regular.comment.csv",54

"DET194909030",75,"$Busted squeeze play"1949.EDA.regular.comment.csv",55

"DET194909040",24,"$Dribbler that Pierce fielded, then fell down, then threw wildly from a sitting position"1949.EDA.regular.comment.csv",56

"DET194909040",31,"$Throw to second was wide, but relay to first retired batter; second out when runner tried to score from second"1949.EDA.regular.comment.csv",57

"PHA194909090",61,"No info on Joost's error, but it put a man on"1949.EDA.regular.comment.csv",58

"PHA194909190",48,"No info on Sievers, Dillenger errors, but both put a man on Sievers has two assists, but no info on them"1949.EDA.regular.comment.csv",59

"DET194909051",28,"$Priddy tried to get Lake going to 3rd, but threw in dugout"1949.EDA.regular.comment.csv",60

"PHA194909200",69,"$Astroth continued to third when the base was left uncovered"1949.EDA.regular.comment.csv",61

"SLA194910010",1,"DWS: bogus, but Moss needs E2"1949.EDA.regular.comment.csv",62

"SLA194910021",48,"Dillinger threw to third, catching Michaels in rundown, during which Michaels collided with Dillinger who dropped the ball, but recovered to apparently throw Michaels out at third; however Michaels was safe when umpire McKinley, supported by umpire Boyer, ruled that Dillinger had obstructed Michaels"1949.EDA.regular.comment.csv",63

"SLA194905120",54,"$After pickoff try at first, first baseman threw wildly to third trying for that runner who then scored"1949.EDA.regular.comment.csv",64

"CHA194906280",54,"pbp account ends here, rest deduced"1949.EDA.regular.comment.csv",65

"SLA194907042",37,"$Pierce's pitch deflected off the backstop back to Pierce who tagged the runner trying to score"1949.EDA.regular.comment.csv",66

"SLA194907050",23,"$Sullivan got the pop up as he backed into left field and was unable to generate much of a throw"1949.EDA.regular.comment.csv",67

"SLA194907050",61,"$Tipton dropped the throw home to allow Dillinger to score from first, then threw the ball into left field, letting the batter score"1949.EDA.regular.comment.csv",68

"DET194908270",75,"$Dente spiked on pickoff attempt, had to leave game"1949.EDA.regular.comment.csv",69

"CHA194908310",35,"$Wind storm"1949.EDA.regular.comment.csv",70

"CHA194908310",36,"$rain delay of about an hour"1949.EDA.regular.comment.csv",71

"BOS194904240",26,"$Into huge shift"1949.EDA.regular.comment.csv",72

