"SLN193804210",32,"$Vaughn intentionally drops the pop fly to force Bordagaray"FILENAME_TX","LINE_NUMBER_CT"
"SLN193807190",39,"$Umpire Klem suddenly turned away and walked toward the Cardinal dugout to deliver some pointed remarks; while he was doing this, Schumacher delivered a pitch that Brown drove into right field; Giants argued that the pitch should not count since the umpire was not there; but Klem ruled it should count; Giants announced intention to protest the game, but since they won, the protest was not filed"1938SLN.EVN.regular.comment.csv",38

"SLN193807201",5,"$Kampouris intentionally dropped Brown's pop"1938SLN.EVN.regular.comment.csv",39

"SLN193807220",21,"$Shea injured in collision with Padgett"1938SLN.EVN.regular.comment.csv",40

"SLN193807230",58,"$Throw home trying for Rosen was an overthrow backed up by the pitcher who tried for Stainback at second too late, allowing Hudson to score (no RBI)"1938SLN.EVN.regular.comment.csv",41

"SLN193807241",53,"$Rounded bag too far"1938SLN.EVN.regular.comment.csv",42

"SLN193807242",33,"$Deflection"1938SLN.EVN.regular.comment.csv",43

"SLN193808201",3,"$Bremer tried to pick off Frey but throw hit McCormick in back of head; after delay McCormick continued in game"1938SLN.EVN.regular.comment.csv",44

"SLN193808220",20,"ej,mckeb101,M,barrg901,Call at HP Reds Manager Bill McKechnie ejected by HP umpire George Barr"1938SLN.EVN.regular.comment.csv",45

"SLN193808230",79,"ej,roseg101,P,morac102,Called third strike $Rosen ejected by plate umpire Moran for arguing 3rd strike"1938SLN.EVN.regular.comment.csv",46

"SLN193808250",88,"ej,medwj101,P,morac102,Checked swing $Joe Medwick ejected by HP umpire Charlie Moran for arguing checked swing"1938SLN.EVN.regular.comment.csv",47

"SLN193808260",66,"$Umpire Magerkurth cleared the Giants bench for arguing about Ott's out"1938SLN.EVN.regular.comment.csv",48

"SLN193808270",77,"medwj fouled ball off foot"1938SLN.EVN.regular.comment.csv",49

"SLN193808270",77,"$Medwick fouled ball off foot, left for pinch-runner"1938SLN.EVN.regular.comment.csv",50

"SLN193809010",17,"$Myers left with injured toe"1938SLN.EVN.regular.comment.csv",51

"SLN193809070",54,"$Galan and Reynolds collided"1938SLN.EVN.regular.comment.csv",52

"SLN193809070",70,"$Page twisted ankle on play at 1B"1938SLN.EVN.regular.comment.csv",53

"SLN193809090",73,"$Owen injured on foul tip"1938SLN.EVN.regular.comment.csv",54

"SLN193809100",40,"$Moore slightly injured"1938SLN.EVN.regular.comment.csv",55

"SLN193809280",65,"$Johnny Mize rounded 2B too far"1938SLN.EVN.regular.comment.csv",56

"SLN193809300",64,"$Hartnett injured R index finger on foul tip in seventh"1938SLN.EVN.regular.comment.csv",57

"SLN193809300",73,"$Cavarretta trapped liner against OF wall Gutteridge held 1B."1938SLN.EVN.regular.comment.csv",58

"SLN193809300",84,"$Herman was limping after Brown spiked him during steal."1938SLN.EVN.regular.comment.csv",59

"SLN193809300",95,"$Game called for darkness"1938SLN.EVN.regular.comment.csv",60

"SLN193810011",45,"$Brown spiked by Marty on slide into second"1938SLN.EVN.regular.comment.csv",61

"SLN193810012",5,"$As Reynolds caught Moore's fly Marty collided with him"1938SLN.EVN.regular.comment.csv",62

