"BSN194204170",0,"582 servicemen guests"FILENAME_TX","LINE_NUMBER_CT"
"BSN194206200",43,"ej,sewer101,P,stewe901,Call 1t 2B $Pirate Sewell was ejected by 1B umpire Stewart from the bench for arguing Fernandez out at 2nd"1942BSN.EVN.regular.comment.csv",36

"BSN194206260",24,"$Sisti knocked out of game when Nicholson ran into him"1942BSN.EVN.regular.comment.csv",37

"BSN194206260",32,"ej,lombe101,P,balll901,Balls and strikes $Lombardi ejected for complaining about ball four; he threw his glove down and kicked dirt on umpire's shoes"1942BSN.EVN.regular.comment.csv",38

"BSN194206270",45,"$Russell lost the pop fly in the sun. Demaree overran second and was trapped between second and third. Lombardi made a  dash for home, turned back and was out going back to third."1942BSN.EVN.regular.comment.csv",39

"BSN194207240",70,"ej,mille101,P,balll901,Arguing call at 2B (threw ball) $Miller, while arguing the safe call at second, slammed the ball on the ground in disgust and was ejected by umpire Ballanfant."1942BSN.EVN.regular.comment.csv",40

"BSN194207250",9,"$Fernandez to third on the single tried to score when  Triplett juggled the ball."1942BSN.EVN.regular.comment.csv",41

"BSN194207250",46,"$Lombardi split a fingernail trying to catch the wild pitch and had to leave the game."1942BSN.EVN.regular.comment.csv",42

"BSN194207291",19,"$Throw to second hit Sewell in the back and rolled away."1942BSN.EVN.regular.comment.csv",43

"BSN194207292",52,"$Heintzelman left with a sore arm"1942BSN.EVN.regular.comment.csv",44

"BSN194208022",18,"$Johnny Sain called for interference"1942BSN.EVN.regular.comment.csv",45

"BSN194208221",77,"$Drive hit third base and caromed into left field."1942BSN.EVN.regular.comment.csv",46

"BSN194209102",69,"$game called so the Reds could take the train to Pittsburgh"1942BSN.EVN.regular.comment.csv",47

"BSN194209121",19,"$Major League debut for Ducky Detweiler"1942BSN.EVN.regular.comment.csv",48

"BSN194209121",21,"ej,lopea102,P,rearb901,Bench jockeying $Umpire Reardon called Holmes out for bumping into Fletcher; Braves' manager Stengel argued that Holmes had not bumped Fletcher until he made his wild throw to home; Umpire Goetz reversed the call and called everyone safe; The Pirates argued and Lopez was ejected from the bench by Reardon"1942BSN.EVN.regular.comment.csv",49

"BSN194209122",86,"$Game called so Pirates could make train connections to NY"1942BSN.EVN.regular.comment.csv",50

"BSN194209160",67,"pbp account ends here, rest deduced"1942BSN.EVN.regular.comment.csv",51

"BSN194209170",15,"$Miller had injured his hand."1942BSN.EVN.regular.comment.csv",52

"BSN194209190",6,"$Cooney pulled up lame and would have to leave the game."1942BSN.EVN.regular.comment.csv",53

"BSN194209190",29,"$West beat Hubbell's throw to second and Witek' wild throw to first allowed both runners to advance another base."1942BSN.EVN.regular.comment.csv",54

"BSN194209190",62,"pbp account ends here, rest deduced"1942BSN.EVN.regular.comment.csv",55

"BSN194209190",79,"$Line drive struck umpire Dunn."1942BSN.EVN.regular.comment.csv",56

