"NY1193904210",62,"ej,ott-m101,P,stewb901,Called third strike $Ott ejected by Stewart for arguing his K."FILENAME_TX","LINE_NUMBER_CT"
"NY1193907220",82,"$Bonura's grounder hit 1B bag and came to dead stop."1939NY1.EVN.regular.comment.csv",80

"NY1193908091",9,"Bloop hit."1939NY1.EVN.regular.comment.csv",81

"NY1193908091",52,"ej,kampa101,P,searz901,Called third strike $Kampouris was ejected by Umpire Sears for arguing the called third strike"1939NY1.EVN.regular.comment.csv",82

"NY1193908092",54,"ej,warsr101,P,morac102,Condition of field $Boston player Warstler ejected by 1B umpire Moran for complaining about condition of field after rain delay"1939NY1.EVN.regular.comment.csv",83

"NY1193908092",99,"remainder deduced from newspapers"1939NY1.EVN.regular.comment.csv",84

"NY1193908092",104,"$Infield came in."1939NY1.EVN.regular.comment.csv",85

"NY1193908131",43,"$Hoffman's major league debut"1939NY1.EVN.regular.comment.csv",86

"NY1193908210",19,"pbp account ends here, rest deduced"1939NY1.EVN.regular.comment.csv",87

"NY1193908210",56,"$Hafey injured himself sliding into 3rd and left game"1939NY1.EVN.regular.comment.csv",88

"NY1193908270",37,"Goodman homered into the upper deck."1939NY1.EVN.regular.comment.csv",89

"NY1193908270",41,"Hafey homered into the upper deck."1939NY1.EVN.regular.comment.csv",90

"NY1193908270",58,"ej,bordf101,P,balll901,Called third strike $Bordagaray was ejected by home plate umpire Ballanfant."1939NY1.EVN.regular.comment.csv",91

"NY1193908280",37,"I am assuming this was a CS."1939NY1.EVN.regular.comment.csv",92

"NY1193908280",51,"$Lombardi hurt his right leg on a foul tip and had to leave the game."1939NY1.EVN.regular.comment.csv",93

"NY1193909021",50,"$Phelps hurt R hand on Hafey's foul tip."1939NY1.EVN.regular.comment.csv",94

"NY1193909041",47,"$Marty's line drive hit Schumacher in his pitching arm"1939NY1.EVN.regular.comment.csv",95

"NY1193909042",79,"ej,protd101,M,campb901,Balls and strikes ej,lobeh101,C,campb901,Balls and strikes ej,beckb104,P,campb901,Balls and strikes $Beck had been sniping at Campbell about the strike zone since the first innning. The Phillies also thought Whitehead was out trying to score from 1B on Moore's double; Beck, Philadelphia manager Prothro and coah Lobert all ejected by HP umpire Campbell"1939NY1.EVN.regular.comment.csv",96

"NY1193909242",4,"$Hit on top of head and falls to ground and is carried off the field on a stretcher and taken to hospital"1939NY1.EVN.regular.comment.csv",97

"NY1193909242",16,"Hafey muffs Dickshot's throw to third; some stories say Bonura made catch, throw"1939NY1.EVN.regular.comment.csv",98

"NY1193909242",41,"Outlaw beats Jurges throw to the plate"1939NY1.EVN.regular.comment.csv",99

"NY1193909242",47,"Game called due to darkness"1939NY1.EVN.regular.comment.csv",100

"NY1193909261",45,"$Koy sprained hand on K"1939NY1.EVN.regular.comment.csv",101

"NY1193909261",48,"pbp account ends here, rest deduced"1939NY1.EVN.regular.comment.csv",102

"NY1193909262",61,"Game called, darkness"1939NY1.EVN.regular.comment.csv",103

