"BOS194204140",3,"$Major League debut for Buddy Blair"FILENAME_TX","LINE_NUMBER_CT"
"BOS194206110",76,"$Pesky and Caster collided, Pesky had to leave the game."1942BOS.EVA.regular.comment.csv",45

"BOS194206130",28,"$McCosky was injured as he stumbled over third base and had  to leave the game."1942BOS.EVA.regular.comment.csv",46

"BOS194206130",62,"pbp account ends here, rest deduced"1942BOS.EVA.regular.comment.csv",47

"BOS194206142",37,"$Williams lazy, then argues with fans"1942BOS.EVA.regular.comment.csv",48

"BOS194206142",81,"ej,baked101,M,quinj901,arguing call at home plate $Detroit manager Baker ejected by HP umpire Quinn for arguing call at home"1942BOS.EVA.regular.comment.csv",49

"BOS194206301",12,"ej,earlj101,P,mcgob901,Arguing foul tip $Early ejected by umpire Stewart for arguing that Williams  had swung and missed strike three. Stewart ruled it tipped."1942BOS.EVA.regular.comment.csv",50

"BOS194207030",49,"pbp account ends here, rest deduced"1942BOS.EVA.regular.comment.csv",51

"BOS194207042",60,"Strange double play. Hassett out at home after overthrow at plate, then Henrich caught off second on what NYTimes describes as hidden-ball trick by Pesky."1942BOS.EVA.regular.comment.csv",52

"BOS194207140",27,"$47 minute rain delay"1942BOS.EVA.regular.comment.csv",53

"BOS194207140",36,"pbp account ends here, rest deduced"1942BOS.EVA.regular.comment.csv",54

"BOS194207140",47,"$Stephens shifted to second base side of base"1942BOS.EVA.regular.comment.csv",55

"BOS194207151",69,"$Hoag fumbled the hit and then threw wildly to home."1942BOS.EVA.regular.comment.csv",56

"BOS194207160",39,"$First air raid drill in MLB history"1942BOS.EVA.regular.comment.csv",57

"BOS194207160",51,"$West left with an upset stomach"1942BOS.EVA.regular.comment.csv",58

"BOS194207191",55,"$Ray Mack rounded 2B too far; Jim Bagby ran to 2B when he saw Mack run past 2B"1942BOS.EVA.regular.comment.csv",59

"BOS194207191",62,"umpchange,8,umphome,summb901 umpchange,8,ump1b,pipgg101 umpchange,8,ump3b,(None) $HP umpire Art Passarella left with heat exhaustion; 1B umpire Bill Summers moved to HP; 3B umpire George Pipgras moved to 1B"1942BOS.EVA.regular.comment.csv",60

"BOS194207191",108,"$Roy Weatherly spiked Bill Conroy on the left hand"1942BOS.EVA.regular.comment.csv",61

"BOS194207192",61,"$game called for curfew"1942BOS.EVA.regular.comment.csv",62

"BOS194208151",26,"Runner of 1st hit by batted ball"1942BOS.EVA.regular.comment.csv",63

"BOS194208162",56,"$Williams ill"1942BOS.EVA.regular.comment.csv",64

"BOS194208191",43,"Chandler strains right side & leaves game with 3-2 count on Williams. Branch enters game & completes the walk"1942BOS.EVA.regular.comment.csv",65

"BOS194208251",82,"$Boudreau complained that Pesky interfered with him at second base, leading to his ejection at the start of game 2"1942BOS.EVA.regular.comment.csv",66

"BOS194208251",85,"$Finney's drive deflected off Mack's glove to Boudreau, who had no play"1942BOS.EVA.regular.comment.csv",67

"BOS194208290",9,"Major League debut for Mueller"1942BOS.EVA.regular.comment.csv",68

"BOS194208290",54,"$Kolloway dove over the rolled up tap into the stands to make the catch."1942BOS.EVA.regular.comment.csv",69

