"PIT191604200",9,"$Quigley called Johnston out, claiming Callahan had touched him with his hand while coaching at third. After a long argument, the game was resumed. Callahan was banished from the bench' DWS: fielding credit not awarded in 1916, I inserted 5","FILENAME_TX","LINE_NUMBER_CT"
"PIT191605200",1,"Bancroft flew out on the first pitch.","1916PIT.EVN.regular.comment.csv",28
"PIT191605200",2,"Niehoff walked on a 3-1 count.","1916PIT.EVN.regular.comment.csv",29
"PIT191605200",6,"Adams threw 17 pitches.","1916PIT.EVN.regular.comment.csv",30
"PIT191605200",65,"Miller threw 91 pitches.","1916PIT.EVN.regular.comment.csv",31
"PIT191605200",71,"Cooper threw 15 pitches.","1916PIT.EVN.regular.comment.csv",32
"PIT191605200",73,"Hinchman was ejected by Rigler for arguing the call.","1916PIT.EVN.regular.comment.csv",33
"PIT191605200",74,"Demaree threw 117 pitches, 86 for strikes.","1916PIT.EVN.regular.comment.csv",34
"PIT191605230",24,"Mowrey was ejected by Byron for arguing the call.","1916PIT.EVN.regular.comment.csv",35
"PIT191605230",35,"Daubert's single hit Kantlehner on the pitching hand, and he was forced to leave the game.","1916PIT.EVN.regular.comment.csv",36
"PIT191605230",75,"The game account said this play was scored 43(1)/FO, which seems very strange.","1916PIT.EVN.regular.comment.csv",37
"PIT191605290",43,"$Chase scored when Wingo was unsuccessfully run down between first and second, returning to first","1916PIT.EVN.regular.comment.csv",38
"PIT191605300",2,"INF","1916PIT.EVN.regular.comment.csv",39
"PIT191605300",24,"INF","1916PIT.EVN.regular.comment.csv",40
"PIT191605310",42,"INF","1916PIT.EVN.regular.comment.csv",41
"PIT191606010",37,"IPHR","1916PIT.EVN.regular.comment.csv",42
"PIT191606010",61,"$Louden was given a home run when umpire Emslie lost sight of the ball under the fence.","1916PIT.EVN.regular.comment.csv",43
"PIT191606230",7,"The account says that Wagner singled here, but the box score says he had 1 hit in the game, and I believe that was a double in the 4th. Hinchman's at bat in the 1st is missing from the account, and he had 3 hits, so he must have singled in this inning. Therefore, I think Wagner made an out, and the single was actually Hinchman's.","1916PIT.EVN.regular.comment.csv",44
"PIT191606241",22,"ej,gibsg101,P,harrp901,Balk call $Catcher Gibson ejected by HP umpire Harrison for arguing","1916PIT.EVN.regular.comment.csv",45
"PIT191606242",58,"The box score does not mention a SB for Carey.","1916PIT.EVN.regular.comment.csv",46
"PIT191607041",16,"Schultz' at bat was missing from the account, so I am making my best guess based on the stats in the box score.","1916PIT.EVN.regular.comment.csv",47
"PIT191607042",53,"ej,zimmh101,P,klemb901,Balls and strikes $Cubs Zimmerman ejected by HP umpire Klem for arguing balls and strikes","1916PIT.EVN.regular.comment.csv",48
"PIT191607042",60,"This may have been a CS.","1916PIT.EVN.regular.comment.csv",49
"PIT191607050",37,"INF","1916PIT.EVN.regular.comment.csv",50
"PIT191607060",20,"INF","1916PIT.EVN.regular.comment.csv",51
"PIT191607070",63,"IPHR","1916PIT.EVN.regular.comment.csv",52
"PIT191607080",81,"IPHR","1916PIT.EVN.regular.comment.csv",53
"PIT191607100",31,"Merkle was ejected by Byron for arguing the call at first","1916PIT.EVN.regular.comment.csv",54
"PIT191607110",16,"Schultz was hit in the head and had to leave the game.","1916PIT.EVN.regular.comment.csv",55
"PIT191607110",20,"I assume this was a CS.","1916PIT.EVN.regular.comment.csv",56
"PIT191607110",44,"INF","1916PIT.EVN.regular.comment.csv",57
"PIT191607120",48,"INF","1916PIT.EVN.regular.comment.csv",58
"PIT191607120",74,"O'Brien's at bat is missing from the account, but I am making my best guess based on the stats in the box score.","1916PIT.EVN.regular.comment.csv",59
"PIT191607140",40,"INF","1916PIT.EVN.regular.comment.csv",60
"PIT191607152",69,"$The game was delayed for about 5 minutes as the fans showered the field with cushions.","1916PIT.EVN.regular.comment.csv",61
"PIT191607191",54,"$Wilson tagged out Getz and threw to Wagner to double Myers. Wagner did not see the tag, so tried turning what he thought would be a 2-6-3 DP, and threw the ball away.","1916PIT.EVN.regular.comment.csv",62
"PIT191607192",48,"Daubert was ejected by Eason for arguing his strikeout from earlier in the inning.","1916PIT.EVN.regular.comment.csv",63
"PIT191607222",37,"INF","1916PIT.EVN.regular.comment.csv",64
"PIT191607222",57,"The box score did not give Jacobs a sacrifice.","1916PIT.EVN.regular.comment.csv",65
"PIT191607222",74,"$The players surrounded Cheney, fearing he had been overcome by the heat. Although Marquard was called on to the field, Cheney remained in the game.","1916PIT.EVN.regular.comment.csv",66
"PIT191607240",7,"Carey singled on the first pitch.","1916PIT.EVN.regular.comment.csv",67
"PIT191608120",45,"$Wilson had to leave the game after being smashed on the hand by Hinchman's foul tip.","1916PIT.EVN.regular.comment.csv",68
"PIT191608120",71,"$Mollwitz was called out for being hit with his own batted ball","1916PIT.EVN.regular.comment.csv",69
"PIT191608170",63,"$Mowrey scored when Fischer threw wild to second to get Olson who had rounded the bag.","1916PIT.EVN.regular.comment.csv",70
"PIT191608192",21,"Hit and run.","1916PIT.EVN.regular.comment.csv",71
"PIT191608192",36,"Wagner hurt his leg while being run down and had to leave the game.","1916PIT.EVN.regular.comment.csv",72
"PIT191608212",52,"According to existing scoring rules, it is unclear how Baird was given credit for a hit.","1916PIT.EVN.regular.comment.csv",73
"PIT191608212",55,"DWS: bunt assumed","1916PIT.EVN.regular.comment.csv",74
"PIT191608221",28,"ej,morap101,PHI,ortha101,Balls and strikes $Phillies manager Moran ejected by HP umpire Orth for arguing balls and strikes from bench","1916PIT.EVN.regular.comment.csv",75
"PIT191608221",56,"Niehoff was cut on the play and had to leave the game.","1916PIT.EVN.regular.comment.csv",76
"PIT191608222",22,"IPHR","1916PIT.EVN.regular.comment.csv",77
"PIT191608222",38,"$No SH awarded","1916PIT.EVN.regular.comment.csv",78
"PIT191608230",21,"INF","1916PIT.EVN.regular.comment.csv",79
"PIT191608230",23,"This may have been a CS.","1916PIT.EVN.regular.comment.csv",80
"PIT191608230",74,"Whitted was ejected by Orth.","1916PIT.EVN.regular.comment.csv",81
"PIT191608240",25,"IPHR","1916PIT.EVN.regular.comment.csv",82
"PIT191608250",52,"Fletcher was ejected by Byron for arguing the play.","1916PIT.EVN.regular.comment.csv",83
"PIT191608250",91,"IPHR","1916PIT.EVN.regular.comment.csv",84
"PIT191608260",117,"$Game called for darkness","1916PIT.EVN.regular.comment.csv",85
"PIT191608281",22,"This may have been a CS, and Mamaux and Johnston may have deserved assists.","1916PIT.EVN.regular.comment.csv",86
"PIT191608282",75,"$Game called for darkness","1916PIT.EVN.regular.comment.csv",87
"PIT191608291",9,"A portion of this inning is missing from the photocopy, so I am making my best guesses based on the stats in the box score. RBI's may be incorrect.","1916PIT.EVN.regular.comment.csv",88
"PIT191608301",69,"INF","1916PIT.EVN.regular.comment.csv",89
"PIT191608302",44,"$No SH awarded on this play","1916PIT.EVN.regular.comment.csv",90
"PIT191608302",64,"INF","1916PIT.EVN.regular.comment.csv",91
"PIT191608310",64,"$Game called for preset curfew so Boston could catch train","1916PIT.EVN.regular.comment.csv",92
"PIT191609010",47,"IPHR","1916PIT.EVN.regular.comment.csv",93
"PIT191609010",64,"ej,calln101,M,harrp901,Call at 1B $Pirates manager Callahan ejected by 1B umpire Harrison for arguing Fischer was safe at 1st","1916PIT.EVN.regular.comment.csv",94
"PIT191609010",66,"ej,jacoe101,P,harrp901,Call at 1B $Pitcher Jacobs ejected by 1B umpire Harrison for arguing Warner was safe at 1st","1916PIT.EVN.regular.comment.csv",95
"PIT191609010",78,"Johnston tried the hidden ball trick, but Griffith was called safe. Johnston was then ejected by Harrison for arguing.","1916PIT.EVN.regular.comment.csv",96
"PIT191609021",11,"INF","1916PIT.EVN.regular.comment.csv",97
"PIT191609021",47,"IPHR","1916PIT.EVN.regular.comment.csv",98
"PIT191609042",10,"Bigbee was called out for not retouching third base after he had rounded the bag.","1916PIT.EVN.regular.comment.csv",99
"PIT191609061",34,"ej,baird101,P,riglc901,Call at 1B $Baird was ejected by 1B umpire Rigler for arguing he was safe at 1st","1916PIT.EVN.regular.comment.csv",100
"PIT191609070",77,"Fischer may have been a PH when Johnston was CS.","1916PIT.EVN.regular.comment.csv",101
"PIT191609091",55,"$McCarthy was called out because Baird hindered Doyle's attempt to field his grounder.","1916PIT.EVN.regular.comment.csv",102
"PIT191609091",59,"$Doyle caught his spikes on the plate and broke his leg. He was carried off the field.","1916PIT.EVN.regular.comment.csv",103
"PIT191609301",26,"INF","1916PIT.EVN.regular.comment.csv",104
"PIT191609302",69,"Kopf was called out for being hit with his own batted ball.","1916PIT.EVN.regular.comment.csv",105
